call_oi,strike,source,ltp,put_oi,call_put_oi_ratio,index_name,ltp_strike_ratio
36625,30000,put,26589.85,38025,1.038,BOSCHLTD,1.128
2725200,250,put,242.2,1474200,0.541,BPCL,1.032
19900,4600,put,4583.5,56700,2.849,BRITANNIA,1.004
236000,4500,put,4401.05,382500,1.621,BSE,1.022
647000,450,put,420.8,346000,0.535,BSOFT,1.069
68125,3300,put,3154.15,45750,0.672,CAMS,1.046
4198500,80,put,80.96,8208000,1.955,CANBK,0.988
10500,1000,put,1111.9,413350,39.367,CDSL,0.899
2925,120,put,131.7,786825,269.0,CESC,0.911
13775,550,put,571.05,554625,40.263,CGPOWER,0.963
429400,540,put,544.1,448400,1.044,CHAMBLFERT,0.992
25625,1300,put,1410.5,195625,7.634,CHOLAFIN,0.922
0,1240,put,1409.75,289900,289900.0,CIPLA,0.88
37800,330,put,358.9,1839600,48.667,COALINDIA,0.919
389050,300,put,290.8,323950,0.833,IIFL,1.032
284200,140,put,146.99,551000,1.939,IREDA,0.952
